name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
Pyridine,979,0.0367,0.00088,8.99E-07
Hydrazine,950,0.0669,0.00088,9.26E-07
Water,999,0.0727,0.00089,8.91E-07
Cyclohexane,773,0.0247,0.00089,1.15E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.01,998.81,0.072284,0.000930951,9.32E-07
1-3-Butanediol_0.01,999.03,0.072444,0.000932871,9.34E-07
Bis(2-ethylhexyl)phthalate (BEHP)_0.02,998.62,0.071868,0.000973787,9.75E-07
1-3-Butanediol_0.02,999.06,0.072188,0.000977807,9.79E-07
Bis(2-ethylhexyl)phthalate (BEHP)_0.03,998.43,0.071452,0.001018594,1.02E-06
1-3-Butanediol_0.03,999.09,0.071932,0.001024908,1.03E-06
Acetic acid (ethanoic acid),1043,0.027,0.00106,1.02E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.04,998.24,0.071036,0.001065462,1.07E-06
Epichlorohydrin (chloromethyloxirane),1174,0.0363,0.00107,9.11E-07
Ethanol (ethyl alcohol),787,0.022,0.00107,1.36E-06
1-3-Butanediol_0.04,999.12,0.071676,0.001074278,1.08E-06
1-2-Dimethoxyethane (DME (ethylene glycol dimethyl ether),865,0.02,0.0011,1.27E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.05,998.05,0.07062,0.001114487,1.12E-06
1-3-Butanediol_0.05,999.15,0.07142,0.001126025,1.13E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.06,997.86,0.070204,0.001165768,1.17E-06
1-4-Dioxane,1029,0.0329,0.00118,1.15E-06
1-3-Butanediol_0.06,999.18,0.071164,0.001180266,1.18E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.07,997.67,0.069788,0.001219408,1.22E-06
1-3-Butanediol_0.07,999.21,0.070908,0.001237119,1.24E-06
Benzonitrile,1001,0.0388,0.00127,1.27E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.08,997.48,0.069372,0.001275516,1.28E-06
1-3-Butanediol_0.08,999.24,0.070652,0.001296711,1.30E-06
1-2-Dichlorobenzene,1301,0.0357,0.00132,1.01E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.09,997.29,0.068956,0.001334206,1.34E-06
1-3-Butanediol_0.09,999.27,0.070396,0.001359173,1.36E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.1,997.1,0.06854,0.001395597,1.40E-06
Benzaldehyde,1040,0.0383,0.0014,1.35E-06
1-3-Butanediol_0.1,999.3,0.07014,0.001424644,1.43E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.11,996.91,0.068124,0.001459812,1.46E-06
1-3-Butanediol_0.11,999.33,0.069884,0.001493269,1.49E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.12,996.72,0.067708,0.001526982,1.53E-06
1-3-Butanediol_0.12,999.36,0.069628,0.001565199,1.57E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.13,996.53,0.067292,0.001597243,1.60E-06
Methanoic acid (formic acid),1214,0.0377,0.00161,1.33E-06
1-3-Butanediol_0.13,999.39,0.069372,0.001640595,1.64E-06
N-Methyl-2-pyrrolidine,1025,0.0446,0.00167,1.63E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.14,996.34,0.066876,0.001670737,1.68E-06
Acetophenone (1-phenylethanone),1024,0.039,0.00168,1.64E-06
2-Methoxyethanol (ethylene glycol monomethyl ether),960,0.0428,0.0017,1.77E-06
1-3-Butanediol_0.14,999.42,0.069116,0.001719622,1.72E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.15,996.15,0.06646,0.001747612,1.75E-06
1-3-Butanediol_0.15,999.45,0.06886,0.001802455,1.80E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.16,995.96,0.066044,0.001828024,1.84E-06
1-3-Butanediol_0.16,999.48,0.068604,0.001889279,1.89E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.17,995.77,0.065628,0.001912137,1.92E-06
1-Propanol (n-propanol),802,0.0209,0.00195,2.43E-06
1-3-Butanediol_0.17,999.51,0.068348,0.001980285,1.98E-06
Dimethyl sulfoxide (DMSO),1095,0.0429,0.00199,1.82E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.18,995.58,0.065212,0.00200012,2.01E-06
Morpholine,997,0.0388,0.00202,2.03E-06
Cyclohexanone,942,0.0344,0.00202,2.14E-06
2-Propanol (isopropyl alcohol),783,0.0233,0.00204,2.61E-06
1-3-Butanediol_0.18,999.54,0.068092,0.002075675,2.08E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.19,995.39,0.064796,0.002092151,2.10E-06
2-Ethoxyethanol (ethylene glycol monoethyl ether),925,0.0288,0.0021,2.27E-06
1-3-Butanediol_0.19,999.57,0.067836,0.00217566,2.18E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.2,995.2,0.06438,0.002188417,2.20E-06
1-3-Butanediol_0.2,999.6,0.06758,0.002280461,2.28E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.21,995.01,0.063964,0.002289112,2.30E-06
Isophorone,920,0.0355,0.00233,2.53E-06
1-3-Butanediol_0.21,999.63,0.067324,0.002390311,2.39E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.22,994.82,0.063548,0.00239444,2.41E-06
Propylene carbonate,1200,0.0409,0.0025,2.08E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.23,994.63,0.063132,0.002504615,2.52E-06
1-3-Butanediol_0.22,999.66,0.067068,0.002505451,2.51E-06
1-Butanol (n-butyl alcohol),806,0.025,0.00254,3.15E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.24,994.44,0.062716,0.00261986,2.63E-06
1-3-Butanediol_0.23,999.69,0.066812,0.002626138,2.63E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.25,994.25,0.0623,0.002740407,2.76E-06
1-3-Butanediol_0.24,999.72,0.066556,0.002752639,2.75E-06
